date,asset,class,label
2015-01-27,AAPL,idiosyncratic,Q1 FY15 earnings
2015-04-27,AAPL,idiosyncratic,Q2 FY15 earnings
2015-07-21,AAPL,idiosyncratic,Q3 FY15 earnings
2015-10-27,AAPL,idiosyncratic,Q4 FY15 earnings
2016-01-26,AAPL,idiosyncratic,Q1 FY16 earnings
2016-04-26,AAPL,idiosyncratic,Q2 FY16 earnings
2016-07-26,AAPL,idiosyncratic,Q3 FY16 earnings
2016-10-25,AAPL,idiosyncratic,Q4 FY16 earnings
2017-02-01,AAPL,idiosyncratic,Q1 FY17 earnings (first after iPhone 7 cycle)
2017-05-02,AAPL,idiosyncratic,Q2 FY17 earnings
2017-08-01,AAPL,idiosyncratic,Q3 FY17 earnings
2017-11-02,AAPL,idiosyncratic,Q4 FY17 earnings (iPhone X)
2018-02-01,AAPL,idiosyncratic,Q1 FY18 earnings
2018-05-01,AAPL,idiosyncratic,Q2 FY18 earnings
2018-07-31,AAPL,idiosyncratic,Q3 FY18 earnings
2018-11-01,AAPL,idiosyncratic,Q4 FY18 earnings
2019-01-29,AAPL,idiosyncratic,Q1 FY19 earnings (China weakness)
2019-04-30,AAPL,idiosyncratic,Q2 FY19 earnings
2019-07-30,AAPL,idiosyncratic,Q3 FY19 earnings
2019-10-30,AAPL,idiosyncratic,Q4 FY19 earnings
2020-01-28,AAPL,idiosyncratic,Q1 FY20 earnings (record)
2020-04-30,AAPL,idiosyncratic,Q2 FY20 earnings (COVID)
2020-07-30,AAPL,idiosyncratic,Q3 FY20 earnings
2020-10-29,AAPL,idiosyncratic,Q4 FY20 earnings
2021-01-27,AAPL,idiosyncratic,Q1 FY21 earnings
2021-04-28,AAPL,idiosyncratic,Q2 FY21 earnings
2021-07-27,AAPL,idiosyncratic,Q3 FY21 earnings
2021-10-28,AAPL,idiosyncratic,Q4 FY21 earnings
2022-01-27,AAPL,idiosyncratic,Q1 FY22 earnings
2022-04-28,AAPL,idiosyncratic,Q2 FY22 earnings
2022-07-28,AAPL,idiosyncratic,Q3 FY22 earnings
2022-10-27,AAPL,idiosyncratic,Q4 FY22 earnings
2023-02-02,AAPL,idiosyncratic,Q1 FY23 earnings
2023-05-04,AAPL,idiosyncratic,Q2 FY23 earnings
2023-08-03,AAPL,idiosyncratic,Q3 FY23 earnings
2023-11-02,AAPL,idiosyncratic,Q4 FY23 earnings
2024-02-01,AAPL,idiosyncratic,Q1 FY24 earnings
2024-05-02,AAPL,idiosyncratic,Q2 FY24 earnings
2024-08-01,AAPL,idiosyncratic,Q3 FY24 earnings
2024-10-31,AAPL,idiosyncratic,Q4 FY24 earnings
