asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
SPY,5,60,2,3,-0.029938105438222878,0.018207436034497298,6221
SPY,5,60,2,4,-0.046086624786648905,0.00027668256287009937,6221
SPY,5,60,3,3,-0.04481521689483994,0.0004069941623975422,6220
SPY,5,60,3,4,-0.06444790948746136,3.636203329474968e-07,6220
SPY,5,60,5,3,-0.06067836613344374,1.6828384558864103e-06,6218
SPY,5,60,5,4,-0.08214455491971659,8.749622076719822e-11,6218
SPY,5,60,10,3,-0.07822027468810361,6.669143498282147e-10,6213
SPY,5,60,10,4,-0.09280602822059053,2.3090689915346677e-13,6213
SPY,5,60,20,3,-0.06721852822476554,1.1643909726632616e-07,6203
SPY,5,60,20,4,-0.0850131606329764,1.9954484724456203e-11,6203
SPY,5,120,2,3,-0.055788142859396025,1.1789277116793803e-05,6161
SPY,5,120,2,4,-0.06991901003192029,3.936080219491927e-08,6161
SPY,5,120,3,3,-0.08006429735945123,3.11934317415566e-10,6160
SPY,5,120,3,4,-0.09851690286242498,9.228944748187448e-15,6160
SPY,5,120,5,3,-0.10395765732425744,2.87704296835155e-16,6158
SPY,5,120,5,4,-0.12340760466472292,2.4934099834870854e-22,6158
SPY,5,120,10,3,-0.11843504991540953,1.151347969706074e-20,6153
SPY,5,120,10,4,-0.1329022206597857,1.1946780378023423e-25,6153
SPY,5,120,20,3,-0.10834645092990627,1.6623152163237793e-17,6143
SPY,5,120,20,4,-0.12504519451178078,7.773775643387859e-23,6143
SPY,5,252,2,3,-0.07978765505708901,5.509814856288176e-10,6029
SPY,5,252,2,4,-0.09823633518466472,2.0953864465705033e-14,6029
SPY,5,252,3,3,-0.11288769321460826,1.483438653491726e-18,6028
SPY,5,252,3,4,-0.13515653593572802,5.662114416037388e-26,6028
SPY,5,252,5,3,-0.1430526480906161,6.404274982422551e-29,6026
SPY,5,252,5,4,-0.1660061963009215,1.7169569728534323e-38,6026
SPY,5,252,10,3,-0.1632253625685786,3.180363154689706e-37,6021
